id_detalle,id_venta,id_producto,cantidad,precio_unitario,subtotal
50001,10001,7,2,3800,7600
50002,10002,1,1,1100,1100
50003,10002,2,3,1800,5400
50004,10003,2,2,1800,3600
50005,10003,5,1,1600,1600
50006,10003,3,2,2200,4400
50007,10004,3,3,2200,6600
50008,10004,2,1,1800,1800
50009,10004,6,2,750,1500
50010,10004,8,1,1500,1500
50011,10004,5,1,1600,1600
50012,10004,1,1,1100,1100
50013,10005,2,2,1800,3600
50014,10006,4,1,900,900
50015,10006,7,1,3800,3800
50016,10006,2,2,1800,3600
50017,10006,6,3,750,2250
50018,10007,3,3,2200,6600
50019,10008,1,3,1100,3300
50020,10008,3,2,2200,4400
50021,10008,2,3,1800,5400
50022,10009,4,3,900,2700
50023,10009,2,3,1800,5400
50024,10010,7,1,3800,3800
50025,10010,6,1,750,750
50026,10011,1,3,1100,3300
50027,10011,3,3,2200,6600
50028,10011,8,1,1500,1500
50029,10012,5,1,1600,1600
50030,10012,2,3,1800,5400
50031,10012,3,1,2200,2200
50032,10013,2,1,1800,1800
50033,10013,7,1,3800,3800
50034,10013,3,3,2200,6600
50035,10014,5,3,1600,4800
50036,10015,7,3,3800,11400
50037,10015,2,3,1800,5400
50038,10016,7,2,3800,7600
50039,10016,5,1,1600,1600
50040,10016,2,2,1800,3600
50041,10016,8,3,1500,4500
50042,10017,5,2,1600,3200
50043,10017,4,3,900,2700
50044,10017,7,2,3800,7600
50045,10017,6,2,750,1500
50046,10018,6,1,750,750
50047,10018,7,1,3800,3800
50048,10018,3,2,2200,4400
50049,10019,3,2,2200,4400
50050,10019,1,2,1100,2200
50051,10020,7,2,3800,7600
50052,10021,6,1,750,750
50053,10022,4,1,900,900
50054,10022,7,3,3800,11400
50055,10022,8,1,1500,1500
50056,10023,1,2,1100,2200
50057,10023,7,3,3800,11400
50058,10024,2,1,1800,1800
50059,10024,1,2,1100,2200
50060,10024,6,3,750,2250
50061,10024,4,1,900,900
50062,10024,8,1,1500,1500
50063,10024,7,3,3800,11400
50064,10025,8,1,1500,1500
50065,10025,3,1,2200,2200
50066,10025,1,1,1100,1100
50067,10026,2,1,1800,1800
50068,10026,8,3,1500,4500
50069,10026,7,1,3800,3800
50070,10026,3,2,2200,4400
50071,10027,8,2,1500,3000
50072,10028,5,1,1600,1600
50073,10028,4,3,900,2700
50074,10028,3,3,2200,6600
50075,10028,1,2,1100,2200
50076,10028,7,3,3800,11400
50077,10029,5,2,1600,3200
50078,10030,8,3,1500,4500
50079,10030,1,2,1100,2200
50080,10031,6,1,750,750
50081,10032,2,1,1800,1800
50082,10032,1,2,1100,2200
50083,10033,1,2,1100,2200
50084,10033,3,2,2200,4400
50085,10033,2,2,1800,3600
50086,10033,8,1,1500,1500
50087,10034,6,2,750,1500
