id_venta,fecha_hora,id_cliente,medio_pago,monto_total
10001,2026-01-01 11:42:00,CLI-171,Efectivo,7600
10002,2026-01-01 09:32:00,CLI-157,Debito,6500
10003,2026-01-01 12:20:00,CLI-172,Credito,9600
10004,2026-01-01 17:05:00,CLI-153,Efectivo,14100
10005,2026-01-01 12:24:00,CLI-170,Debito,3600
10006,2026-01-01 16:06:00,CLI-171,Efectivo,10550
10007,2026-01-01 10:14:00,CLI-189,Efectivo,6600
10008,2026-01-01 12:35:00,CLI-112,Efectivo,13100
10009,2026-01-01 11:32:00,CLI-228,Debito,8100
10010,2026-01-01 08:48:00,Consumidor Final,Efectivo,4550
10011,2026-01-01 18:01:00,CLI-152,Credito,11400
10012,2026-01-01 08:05:00,Consumidor Final,Debito,9200
10013,2026-01-01 08:30:00,CLI-141,Mercado Pago,12200
10014,2026-01-01 18:23:00,Consumidor Final,Mercado Pago,4800
10015,2026-01-01 20:45:00,CLI-181,Debito,16800
10016,2026-01-01 18:07:00,CLI-126,Debito,17300
10017,2026-01-01 11:23:00,CLI-192,Credito,15000
10018,2026-01-01 18:01:00,Consumidor Final,Efectivo,8950
10019,2026-01-01 11:14:00,CLI-191,Debito,6600
10020,2026-01-01 10:32:00,Consumidor Final,Efectivo,7600
10021,2026-01-01 16:18:00,Consumidor Final,Efectivo,750
10022,2026-01-01 16:44:00,Consumidor Final,Debito,13800
10023,2026-01-01 20:15:00,Consumidor Final,Debito,13600
10024,2026-01-01 16:04:00,Consumidor Final,Credito,20050
10025,2026-01-01 09:49:00,CLI-134,Mercado Pago,4800
10026,2026-01-01 16:09:00,Consumidor Final,Mercado Pago,14500
10027,2026-01-01 16:19:00,CLI-211,Efectivo,3000
10028,2026-01-01 18:46:00,CLI-243,Efectivo,24500
10029,2026-01-01 16:57:00,CLI-244,Efectivo,3200
10030,2026-01-01 10:21:00,Consumidor Final,Credito,6700
10031,2026-01-01 10:49:00,CLI-225,Efectivo,750
10032,2026-01-01 16:52:00,Consumidor Final,Credito,4000
10033,2026-01-01 16:14:00,Consumidor Final,Mercado Pago,11700
10034,2026-01-01 19:26:00,CLI-290,Debito,13300
10035,2026-01-01 16:00:00,Consumidor Final,Efectivo,11150
10036,2026-01-01 10:36:00,Consumidor Final,Mercado Pago,6000
10037,2026-01-01 17:53:00,Consumidor Final,Debito,7200
10038,2026-01-01 17:49:00,Consumidor Final,Debito,11400
10039,2026-01-01 08:03:00,Consumidor Final,Debito,11000
10040,2026-01-01 19:03:00,CLI-283,Mercado Pago,10900
10041,2026-01-01 16:25:00,CLI-145,Debito,3600
10042,2026-01-01 16:48:00,CLI-198,Efectivo,12600
10043,2026-01-01 10:17:00,CLI-137,Efectivo,3100
10044,2026-01-01 11:40:00,CLI-208,Debito,14500
10045,2026-01-01 08:21:00,CLI-120,Efectivo,3800
10046,2026-01-01 17:27:00,Consumidor Final,Mercado Pago,7600
10047,2026-01-01 20:04:00,Consumidor Final,Mercado Pago,5400
10048,2026-01-01 16:49:00,CLI-109,Debito,6300
10049,2026-01-01 10:59:00,CLI-277,Mercado Pago,4000
10050,2026-01-01 11:36:00,CLI-104,Mercado Pago,17000
10051,2026-01-01 08:54:00,CLI-293,Credito,1600
10052,2026-01-01 19:38:00,Consumidor Final,Efectivo,1500
10053,2026-01-01 10:53:00,CLI-137,Debito,16500
10054,2026-01-01 19:42:00,CLI-126,Efectivo,15400
10055,2026-01-01 08:57:00,CLI-236,Mercado Pago,9200
10056,2026-01-01 10:08:00,CLI-152,Mercado Pago,3200
10057,2026-01-01 18:26:00,CLI-116,Efectivo,6000
10058,2026-01-01 16:40:00,CLI-276,Mercado Pago,4000
10059,2026-01-01 08:29:00,CLI-243,Efectivo,8700
10060,2026-01-01 17:18:00,CLI-209,Mercado Pago,14850
10061,2026-01-01 19:36:00,CLI-281,Efectivo,1800
10062,2026-01-01 17:00:00,Consumidor Final,Debito,9600
10063,2026-01-01 16:29:00,Consumidor Final,Debito,13200
10064,2026-01-01 17:28:00,Consumidor Final,Mercado Pago,15500
10065,2026-01-01 18:33:00,Consumidor Final,Debito,14800
10066,2026-01-01 18:35:00,Consumidor Final,Mercado Pago,9250
10067,2026-01-01 10:33:00,CLI-253,Debito,9600
10068,2026-01-01 09:36:00,Consumidor Final,Credito,5100
10069,2026-01-01 08:58:00,CLI-253,Mercado Pago,2700
10070,2026-01-01 12:47:00,Consumidor Final,Credito,15450
10071,2026-01-01 16:28:00,Consumidor Final,Debito,18600
10072,2026-01-01 20:48:00,CLI-161,Mercado Pago,13150
10073,2026-01-01 08:23:00,CLI-295,Credito,1600
10074,2026-01-01 11:07:00,Consumidor Final,Efectivo,4100
10075,2026-01-01 12:34:00,Consumidor Final,Efectivo,7800
10076,2026-01-01 12:40:00,CLI-283,Efectivo,15050
10077,2026-01-01 20:28:00,Consumidor Final,Debito,11550
10078,2026-01-01 09:26:00,CLI-265,Mercado Pago,7150
10079,2026-01-01 20:26:00,CLI-212,Efectivo,1100
10080,2026-01-01 19:14:00,CLI-136,Credito,3000
10081,2026-01-01 18:49:00,Consumidor Final,Credito,7200
10082,2026-01-01 17:45:00,Consumidor Final,Efectivo,19600
10083,2026-01-01 11:04:00,CLI-230,Debito,6450
10084,2026-01-01 17:06:00,Consumidor Final,Efectivo,15200
10085,2026-01-01 20:23:00,CLI-171,Debito,7600
10086,2026-01-01 18:50:00,CLI-187,Efectivo,3200
10087,2026-01-01 16:32:00,Consumidor Final,Efectivo,14200
10088,2026-01-01 08:30:00,CLI-259,Credito,22800
10089,2026-01-01 11:24:00,Consumidor Final,Debito,14000
10090,2026-01-01 10:28:00,CLI-281,Efectivo,20500
